nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
South East,2021-02-01,95,9979,4,484,99,10463,FALSE
South East,2021-02-02,83,10062,6,490,89,10552,FALSE
South East,2021-02-03,95,10157,8,498,103,10655,FALSE
South East,2021-02-04,58,10215,10,508,68,10723,FALSE
South East,2021-02-05,69,10284,7,515,76,10799,FALSE
South East,2021-02-06,73,10357,6,521,79,10878,FALSE
South East,2021-02-07,63,10420,8,529,71,10949,FALSE
South East,2021-02-08,67,10487,13,542,80,11029,FALSE
South East,2021-02-09,38,10525,5,547,43,11072,FALSE
South East,2021-02-10,50,10575,6,553,56,11128,FALSE
South East,2021-02-11,65,10640,13,566,78,11206,FALSE
South East,2021-02-12,44,10684,4,570,48,11254,FALSE
South East,2021-02-13,35,10719,6,576,41,11295,FALSE
South East,2021-02-14,43,10762,10,586,53,11348,FALSE
South East,2021-02-15,51,10813,4,590,55,11403,FALSE
South East,2021-02-16,40,10853,4,594,44,11447,FALSE
South East,2021-02-17,35,10888,8,602,43,11490,FALSE
South East,2021-02-18,40,10928,8,610,48,11538,FALSE
South East,2021-02-19,39,10967,10,620,49,11587,FALSE
South East,2021-02-20,33,11000,6,626,39,11626,FALSE
South East,2021-02-21,35,11035,3,629,38,11664,FALSE
South East,2021-02-22,31,11066,2,631,33,11697,FALSE
South East,2021-02-23,29,11095,9,640,38,11735,FALSE
South East,2021-02-24,27,11122,6,646,33,11768,FALSE
South East,2021-02-25,27,11149,11,657,38,11806,FALSE
South East,2021-02-26,21,11170,7,664,28,11834,FALSE
South East,2021-02-27,24,11194,3,667,27,11861,FALSE
South East,2021-02-28,14,11208,4,671,18,11879,FALSE
South East,2021-03-01,21,11229,6,677,27,11906,FALSE
South East,2021-03-02,20,11249,6,683,26,11932,FALSE
South East,2021-03-03,18,11267,4,687,22,11954,FALSE
South East,2021-03-04,24,11291,3,690,27,11981,FALSE
South East,2021-03-05,18,11309,3,693,21,12002,FALSE
South East,2021-03-06,14,11323,2,695,16,12018,FALSE
South East,2021-03-07,11,11334,8,703,19,12037,FALSE
South East,2021-03-08,10,11344,3,706,13,12050,FALSE
South East,2021-03-09,13,11357,4,710,17,12067,FALSE
South East,2021-03-10,11,11368,4,714,15,12082,FALSE
South East,2021-03-11,12,11380,3,717,15,12097,FALSE
South East,2021-03-12,13,11393,1,718,14,12111,FALSE
South East,2021-03-13,8,11401,3,721,11,12122,FALSE
South East,2021-03-14,10,11411,3,724,13,12135,FALSE
South East,2021-03-15,9,11420,5,729,14,12149,FALSE
South East,2021-03-16,12,11432,1,730,13,12162,FALSE
South East,2021-03-17,5,11437,4,734,9,12171,FALSE
South East,2021-03-18,6,11443,3,737,9,12180,FALSE
South East,2021-03-19,9,11452,2,739,11,12191,FALSE
South East,2021-03-20,6,11458,2,741,8,12199,FALSE
South East,2021-03-21,2,11460,2,743,4,12203,FALSE
South East,2021-03-22,5,11465,4,747,9,12212,FALSE
South East,2021-03-23,3,11468,2,749,5,12217,FALSE
South East,2021-03-24,8,11476,1,750,9,12226,FALSE
South East,2021-03-25,5,11481,3,753,8,12234,FALSE
South East,2021-03-26,4,11485,1,754,5,12239,FALSE
South East,2021-03-27,2,11487,2,756,4,12243,FALSE
South East,2021-03-28,2,11489,2,758,4,12247,FALSE
South East,2021-03-29,4,11493,1,759,5,12252,FALSE
South East,2021-03-30,3,11496,1,760,4,12256,FALSE
South East,2021-03-31,5,11501,0,760,5,12261,FALSE
South East,2021-04-01,2,11503,3,763,5,12266,FALSE
South East,2021-04-02,4,11507,2,765,6,12272,FALSE
South East,2021-04-03,2,11509,0,765,2,12274,FALSE
South East,2021-04-04,2,11511,0,765,2,12276,FALSE
South East,2021-04-05,1,11512,2,767,3,12279,FALSE
South East,2021-04-06,3,11515,1,768,4,12283,FALSE
South East,2021-04-07,3,11518,2,770,5,12288,FALSE
South East,2021-04-08,3,11521,1,771,4,12292,FALSE
South East,2021-04-09,0,11521,0,771,0,12292,FALSE
South East,2021-04-10,2,11523,1,772,3,12295,FALSE
South East,2021-04-11,0,11523,1,773,1,12296,FALSE
South East,2021-04-12,3,11526,1,774,4,12300,FALSE
South East,2021-04-13,2,11528,0,774,2,12302,FALSE
South East,2021-04-14,3,11531,0,774,3,12305,FALSE
South East,2021-04-15,1,11532,0,774,1,12306,FALSE
South East,2021-04-16,0,11532,0,774,0,12306,FALSE
South East,2021-04-17,1,11533,1,775,2,12308,FALSE
South East,2021-04-18,1,11534,0,775,1,12309,FALSE
South East,2021-04-19,0,11534,1,776,1,12310,FALSE
South East,2021-04-20,2,11536,3,779,5,12315,FALSE
South East,2021-04-21,0,11536,1,780,1,12316,FALSE
South East,2021-04-22,0,11536,0,780,0,12316,FALSE
South East,2021-04-23,1,11537,0,780,1,12317,FALSE
South East,2021-04-24,1,11538,1,781,2,12319,FALSE
South East,2021-04-25,3,11541,1,782,4,12323,FALSE
South East,2021-04-26,0,11541,0,782,0,12323,FALSE
South East,2021-04-27,0,11541,1,783,1,12324,FALSE
South East,2021-04-28,0,11541,1,784,1,12325,FALSE
South East,2021-04-29,2,11543,0,784,2,12327,FALSE
South East,2021-04-30,2,11545,0,784,2,12329,FALSE
South East,2021-05-01,0,11545,0,784,0,12329,FALSE
South East,2021-05-02,1,11546,2,786,3,12332,FALSE
South East,2021-05-03,1,11547,1,787,2,12334,FALSE
South East,2021-05-04,1,11548,1,788,2,12336,FALSE
South East,2021-05-05,0,11548,1,789,1,12337,FALSE
South East,2021-05-06,0,11548,0,789,0,12337,FALSE
South East,2021-05-07,0,11548,0,789,0,12337,FALSE
South East,2021-05-08,2,11550,0,789,2,12339,FALSE
South East,2021-05-09,1,11551,0,789,1,12340,FALSE
South East,2021-05-10,0,11551,0,789,0,12340,FALSE
South East,2021-05-11,1,11552,0,789,1,12341,FALSE
South East,2021-05-12,0,11552,0,789,0,12341,FALSE
South East,2021-05-13,0,11552,0,789,0,12341,FALSE
South East,2021-05-14,0,11552,2,791,2,12343,FALSE
South East,2021-05-15,0,11552,0,791,0,12343,FALSE
South East,2021-05-16,0,11552,0,791,0,12343,FALSE
South East,2021-05-17,0,11552,0,791,0,12343,FALSE
South East,2021-05-18,1,11553,0,791,1,12344,FALSE
South East,2021-05-19,0,11553,0,791,0,12344,FALSE
South East,2021-05-20,1,11554,0,791,1,12345,FALSE
South East,2021-05-21,0,11554,1,792,1,12346,FALSE
South East,2021-05-22,0,11554,0,792,0,12346,FALSE
South East,2021-05-23,0,11554,1,793,1,12347,FALSE
South East,2021-05-24,0,11554,1,794,1,12348,FALSE
South East,2021-05-25,0,11554,0,794,0,12348,FALSE
South East,2021-05-26,0,11554,0,794,0,12348,FALSE
South East,2021-05-27,0,11554,0,794,0,12348,FALSE
South East,2021-05-28,0,11554,1,795,1,12349,FALSE
South East,2021-05-29,0,11554,0,795,0,12349,FALSE
South East,2021-05-30,0,11554,0,795,0,12349,FALSE
South East,2021-05-31,0,11554,0,795,0,12349,FALSE
South East,2021-06-01,0,11554,0,795,0,12349,FALSE
South East,2021-06-02,0,11554,1,796,1,12350,FALSE
South East,2021-06-03,0,11554,0,796,0,12350,FALSE
South East,2021-06-04,0,11554,0,796,0,12350,FALSE
South East,2021-06-05,0,11554,0,796,0,12350,TRUE
South East,2021-06-06,0,11554,0,796,0,12350,TRUE
South East,2021-06-07,0,11554,0,796,0,12350,TRUE
South East,2021-06-08,1,11555,0,796,1,12351,TRUE
South East,2021-06-09,0,11555,0,796,0,12351,TRUE
South West,2020-02-29,0,0,0,0,0,0,FALSE
South West,2020-03-01,0,0,0,0,0,0,FALSE
South West,2020-03-02,0,0,0,0,0,0,FALSE
South West,2020-03-03,0,0,0,0,0,0,FALSE
South West,2020-03-04,0,0,0,0,0,0,FALSE
South West,2020-03-05,0,0,0,0,0,0,FALSE
South West,2020-03-06,0,0,0,0,0,0,FALSE
South West,2020-03-07,0,0,0,0,0,0,FALSE
South West,2020-03-08,0,0,0,0,0,0,FALSE
South West,2020-03-09,0,0,0,0,0,0,FALSE
South West,2020-03-10,0,0,0,0,0,0,FALSE
South West,2020-03-11,1,1,0,0,1,1,FALSE
South West,2020-03-12,0,1,0,0,0,1,FALSE
South West,2020-03-13,0,1,0,0,0,1,FALSE
South West,2020-03-14,1,2,0,0,1,2,FALSE
South West,2020-03-15,0,2,0,0,0,2,FALSE
South West,2020-03-16,0,2,0,0,0,2,FALSE
South West,2020-03-17,2,4,0,0,2,4,FALSE
South West,2020-03-18,2,6,0,0,2,6,FALSE
South West,2020-03-19,4,10,0,0,4,10,FALSE
South West,2020-03-20,3,13,0,0,3,13,FALSE
South West,2020-03-21,7,20,0,0,7,20,FALSE
South West,2020-03-22,7,27,0,0,7,27,FALSE
South West,2020-03-23,8,35,0,0,8,35,FALSE
South West,2020-03-24,7,42,0,0,7,42,FALSE
South West,2020-03-25,9,51,0,0,9,51,FALSE
South West,2020-03-26,11,62,0,0,11,62,FALSE
South West,2020-03-27,13,75,0,0,13,75,FALSE
South West,2020-03-28,21,96,0,0,21,96,FALSE
South West,2020-03-29,18,114,0,0,18,114,FALSE
South West,2020-03-30,23,137,0,0,23,137,FALSE
South West,2020-03-31,23,160,0,0,23,160,FALSE
South West,2020-04-01,21,181,0,0,21,181,FALSE
South West,2020-04-02,23,204,0,0,23,204,FALSE
South West,2020-04-03,31,235,0,0,31,235,FALSE
South West,2020-04-04,42,277,0,0,42,277,FALSE
South West,2020-04-05,32,309,0,0,32,309,FALSE
South West,2020-04-06,34,343,0,0,34,343,FALSE
South West,2020-04-07,39,382,0,0,39,382,FALSE
South West,2020-04-08,47,429,0,0,47,429,FALSE
South West,2020-04-09,24,453,0,0,24,453,FALSE
South West,2020-04-10,46,499,0,0,46,499,FALSE
South West,2020-04-11,43,542,0,0,43,542,FALSE
South West,2020-04-12,23,565,0,0,23,565,FALSE
South West,2020-04-13,28,593,0,0,28,593,FALSE
South West,2020-04-14,24,617,0,0,24,617,FALSE
South West,2020-04-15,32,649,0,0,32,649,FALSE
South West,2020-04-16,29,678,0,0,29,678,FALSE
South West,2020-04-17,33,711,0,0,33,711,FALSE
South West,2020-04-18,25,736,0,0,25,736,FALSE
South West,2020-04-19,31,767,0,0,31,767,FALSE
South West,2020-04-20,26,793,0,0,26,793,FALSE
South West,2020-04-21,26,819,0,0,26,819,FALSE
South West,2020-04-22,23,842,0,0,23,842,FALSE
South West,2020-04-23,17,859,0,0,17,859,FALSE
South West,2020-04-24,19,878,2,2,21,880,FALSE
South West,2020-04-25,15,893,1,3,16,896,FALSE
South West,2020-04-26,27,920,0,3,27,923,FALSE
South West,2020-04-27,13,933,4,7,17,940,FALSE
South West,2020-04-28,17,950,1,8,18,958,FALSE
South West,2020-04-29,15,965,0,8,15,973,FALSE
South West,2020-04-30,26,991,2,10,28,1001,FALSE
South West,2020-05-01,6,997,1,11,7,1008,FALSE
South West,2020-05-02,7,1004,0,11,7,1015,FALSE
South West,2020-05-03,10,1014,3,14,13,1028,FALSE
South West,2020-05-04,17,1031,4,18,21,1049,FALSE
South West,2020-05-05,14,1045,5,23,19,1068,FALSE
South West,2020-05-06,19,1064,1,24,20,1088,FALSE
South West,2020-05-07,16,1080,1,25,17,1105,FALSE
South West,2020-05-08,6,1086,2,27,8,1113,FALSE
South West,2020-05-09,11,1097,3,30,14,1127,FALSE
South West,2020-05-10,5,1102,3,33,8,1135,FALSE
South West,2020-05-11,8,1110,2,35,10,1145,FALSE
South West,2020-05-12,7,1117,0,35,7,1152,FALSE
South West,2020-05-13,7,1124,1,36,8,1160,FALSE
South West,2020-05-14,6,1130,2,38,8,1168,FALSE
South West,2020-05-15,4,1134,2,40,6,1174,FALSE
South West,2020-05-16,4,1138,1,41,5,1179,FALSE
South West,2020-05-17,6,1144,4,45,10,1189,FALSE
South West,2020-05-18,4,1148,0,45,4,1193,FALSE
South West,2020-05-19,6,1154,2,47,8,1201,FALSE
South West,2020-05-20,1,1155,1,48,2,1203,FALSE
South West,2020-05-21,9,1164,4,52,13,1216,FALSE
South West,2020-05-22,7,1171,3,55,10,1226,FALSE
South West,2020-05-23,6,1177,1,56,7,1233,FALSE
South West,2020-05-24,3,1180,3,59,6,1239,FALSE
South West,2020-05-25,8,1188,0,59,8,1247,FALSE
South West,2020-05-26,11,1199,0,59,11,1258,FALSE
South West,2020-05-27,5,1204,2,61,7,1265,FALSE
South West,2020-05-28,10,1214,0,61,10,1275,FALSE
South West,2020-05-29,7,1221,0,61,7,1282,FALSE
South West,2020-05-30,3,1224,0,61,3,1285,FALSE
South West,2020-05-31,2,1226,3,64,5,1290,FALSE
South West,2020-06-01,7,1233,1,65,8,1298,FALSE
South West,2020-06-02,2,1235,0,65,2,1300,FALSE
South West,2020-06-03,7,1242,4,69,11,1311,FALSE
South West,2020-06-04,2,1244,1,70,3,1314,FALSE
South West,2020-06-05,2,1246,1,71,3,1317,FALSE
South West,2020-06-06,1,1247,0,71,1,1318,FALSE
South West,2020-06-07,3,1250,0,71,3,1321,FALSE
South West,2020-06-08,3,1253,1,72,4,1325,FALSE
South West,2020-06-09,0,1253,0,72,0,1325,FALSE
South West,2020-06-10,1,1254,0,72,1,1326,FALSE
South West,2020-06-11,2,1256,1,73,3,1329,FALSE
South West,2020-06-12,2,1258,1,74,3,1332,FALSE
South West,2020-06-13,2,1260,1,75,3,1335,FALSE
South West,2020-06-14,0,1260,0,75,0,1335,FALSE
South West,2020-06-15,2,1262,0,75,2,1337,FALSE
South West,2020-06-16,2,1264,3,78,5,1342,FALSE
South West,2020-06-17,0,1264,0,78,0,1342,FALSE
South West,2020-06-18,0,1264,0,78,0,1342,FALSE
South West,2020-06-19,0,1264,1,79,1,1343,FALSE
South West,2020-06-20,2,1266,0,79,2,1345,FALSE
South West,2020-06-21,0,1266,0,79,0,1345,FALSE
South West,2020-06-22,1,1267,0,79,1,1346,FALSE
South West,2020-06-23,1,1268,0,79,1,1347,FALSE
South West,2020-06-24,1,1269,0,79,1,1348,FALSE
South West,2020-06-25,0,1269,0,79,0,1348,FALSE
South West,2020-06-26,3,1272,0,79,3,1351,FALSE
South West,2020-06-27,0,1272,0,79,0,1351,FALSE
South West,2020-06-28,0,1272,0,79,0,1351,FALSE
South West,2020-06-29,1,1273,0,79,1,1352,FALSE
South West,2020-06-30,0,1273,1,80,1,1353,FALSE
South West,2020-07-01,0,1273,0,80,0,1353,FALSE
South West,2020-07-02,0,1273,0,80,0,1353,FALSE
South West,2020-07-03,0,1273,0,80,0,1353,FALSE
South West,2020-07-04,0,1273,1,81,1,1354,FALSE
South West,2020-07-05,1,1274,0,81,1,1355,FALSE
South West,2020-07-06,0,1274,1,82,1,1356,FALSE
South West,2020-07-07,0,1274,1,83,1,1357,FALSE
South West,2020-07-08,2,1276,0,83,2,1359,FALSE
South West,2020-07-09,0,1276,0,83,0,1359,FALSE
South West,2020-07-10,1,1277,0,83,1,1360,FALSE
South West,2020-07-11,0,1277,0,83,0,1360,FALSE
South West,2020-07-12,0,1277,0,83,0,1360,FALSE
South West,2020-07-13,1,1278,0,83,1,1361,FALSE
South West,2020-07-14,0,1278,0,83,0,1361,FALSE
South West,2020-07-15,0,1278,0,83,0,1361,FALSE
South West,2020-07-16,0,1278,1,84,1,1362,FALSE
South West,2020-07-17,1,1279,0,84,1,1363,FALSE
South West,2020-07-18,0,1279,0,84,0,1363,FALSE
South West,2020-07-19,0,1279,0,84,0,1363,FALSE
South West,2020-07-20,0,1279,1,85,1,1364,FALSE
South West,2020-07-21,0,1279,0,85,0,1364,FALSE
South West,2020-07-22,0,1279,0,85,0,1364,FALSE
South West,2020-07-23,0,1279,0,85,0,1364,FALSE
South West,2020-07-24,0,1279,0,85,0,1364,FALSE
South West,2020-07-25,0,1279,0,85,0,1364,FALSE
South West,2020-07-26,0,1279,0,85,0,1364,FALSE
South West,2020-07-27,0,1279,0,85,0,1364,FALSE
South West,2020-07-28,0,1279,0,85,0,1364,FALSE
South West,2020-07-29,0,1279,0,85,0,1364,FALSE
South West,2020-07-30,1,1280,0,85,1,1365,FALSE
South West,2020-07-31,0,1280,0,85,0,1365,FALSE
South West,2020-08-01,0,1280,0,85,0,1365,FALSE
South West,2020-08-02,0,1280,0,85,0,1365,FALSE
South West,2020-08-03,0,1280,0,85,0,1365,FALSE
South West,2020-08-04,0,1280,0,85,0,1365,FALSE
South West,2020-08-05,0,1280,0,85,0,1365,FALSE
South West,2020-08-06,0,1280,0,85,0,1365,FALSE
South West,2020-08-07,0,1280,0,85,0,1365,FALSE
South West,2020-08-08,0,1280,0,85,0,1365,FALSE
South West,2020-08-09,0,1280,0,85,0,1365,FALSE
South West,2020-08-10,0,1280,0,85,0,1365,FALSE
South West,2020-08-11,0,1280,0,85,0,1365,FALSE
South West,2020-08-12,0,1280,0,85,0,1365,FALSE
South West,2020-08-13,0,1280,0,85,0,1365,FALSE
South West,2020-08-14,1,1281,0,85,1,1366,FALSE
South West,2020-08-15,0,1281,0,85,0,1366,FALSE
South West,2020-08-16,0,1281,0,85,0,1366,FALSE
South West,2020-08-17,2,1283,0,85,2,1368,FALSE
South West,2020-08-18,0,1283,0,85,0,1368,FALSE
South West,2020-08-19,0,1283,0,85,0,1368,FALSE
South West,2020-08-20,0,1283,1,86,1,1369,FALSE
South West,2020-08-21,0,1283,0,86,0,1369,FALSE
South West,2020-08-22,0,1283,0,86,0,1369,FALSE
South West,2020-08-23,0,1283,0,86,0,1369,FALSE
South West,2020-08-24,0,1283,0,86,0,1369,FALSE
South West,2020-08-25,1,1284,0,86,1,1370,FALSE
South West,2020-08-26,0,1284,0,86,0,1370,FALSE
South West,2020-08-27,1,1285,0,86,1,1371,FALSE
South West,2020-08-28,0,1285,1,87,1,1372,FALSE
South West,2020-08-29,0,1285,0,87,0,1372,FALSE
South West,2020-08-30,0,1285,0,87,0,1372,FALSE
South West,2020-08-31,0,1285,0,87,0,1372,FALSE
South West,2020-09-01,0,1285,0,87,0,1372,FALSE
South West,2020-09-02,0,1285,0,87,0,1372,FALSE
South West,2020-09-03,0,1285,1,88,1,1373,FALSE
South West,2020-09-04,0,1285,0,88,0,1373,FALSE
South West,2020-09-05,0,1285,0,88,0,1373,FALSE
South West,2020-09-06,0,1285,0,88,0,1373,FALSE
South West,2020-09-07,0,1285,0,88,0,1373,FALSE
South West,2020-09-08,1,1286,0,88,1,1374,FALSE
South West,2020-09-09,0,1286,0,88,0,1374,FALSE
South West,2020-09-10,0,1286,0,88,0,1374,FALSE
South West,2020-09-11,0,1286,0,88,0,1374,FALSE
South West,2020-09-12,0,1286,0,88,0,1374,FALSE
South West,2020-09-13,1,1287,0,88,1,1375,FALSE
South West,2020-09-14,0,1287,0,88,0,1375,FALSE
South West,2020-09-15,0,1287,1,89,1,1376,FALSE
South West,2020-09-16,0,1287,0,89,0,1376,FALSE
South West,2020-09-17,1,1288,0,89,1,1377,FALSE
South West,2020-09-18,0,1288,1,90,1,1378,FALSE
South West,2020-09-19,0,1288,0,90,0,1378,FALSE
South West,2020-09-20,1,1289,0,90,1,1379,FALSE
South West,2020-09-21,0,1289,0,90,0,1379,FALSE
South West,2020-09-22,0,1289,0,90,0,1379,FALSE
South West,2020-09-23,0,1289,0,90,0,1379,FALSE
South West,2020-09-24,1,1290,1,91,2,1381,FALSE
South West,2020-09-25,0,1290,0,91,0,1381,FALSE
South West,2020-09-26,0,1290,0,91,0,1381,FALSE
South West,2020-09-27,0,1290,0,91,0,1381,FALSE
South West,2020-09-28,0,1290,0,91,0,1381,FALSE
South West,2020-09-29,0,1290,0,91,0,1381,FALSE
South West,2020-09-30,0,1290,0,91,0,1381,FALSE
South West,2020-10-01,0,1290,0,91,0,1381,FALSE
South West,2020-10-02,1,1291,0,91,1,1382,FALSE
South West,2020-10-03,0,1291,0,91,0,1382,FALSE
South West,2020-10-04,0,1291,0,91,0,1382,FALSE
South West,2020-10-05,0,1291,0,91,0,1382,FALSE
South West,2020-10-06,1,1292,0,91,1,1383,FALSE
South West,2020-10-07,0,1292,0,91,0,1383,FALSE
South West,2020-10-08,1,1293,0,91,1,1384,FALSE
South West,2020-10-09,1,1294,0,91,1,1385,FALSE
South West,2020-10-10,0,1294,0,91,0,1385,FALSE
South West,2020-10-11,4,1298,0,91,4,1389,FALSE
South West,2020-10-12,2,1300,0,91,2,1391,FALSE
South West,2020-10-13,0,1300,0,91,0,1391,FALSE
South West,2020-10-14,3,1303,0,91,3,1394,FALSE
South West,2020-10-15,1,1304,0,91,1,1395,FALSE
South West,2020-10-16,2,1306,0,91,2,1397,FALSE
South West,2020-10-17,8,1314,0,91,8,1405,FALSE
South West,2020-10-18,2,1316,0,91,2,1407,FALSE
South West,2020-10-19,2,1318,0,91,2,1409,FALSE
South West,2020-10-20,3,1321,0,91,3,1412,FALSE
South West,2020-10-21,6,1327,0,91,6,1418,FALSE
South West,2020-10-22,6,1333,0,91,6,1424,FALSE
South West,2020-10-23,5,1338,0,91,5,1429,FALSE
South West,2020-10-24,5,1343,0,91,5,1434,FALSE
South West,2020-10-25,5,1348,0,91,5,1439,FALSE
South West,2020-10-26,7,1355,0,91,7,1446,FALSE
South West,2020-10-27,6,1361,0,91,6,1452,FALSE
South West,2020-10-28,8,1369,0,91,8,1460,FALSE
South West,2020-10-29,11,1380,0,91,11,1471,FALSE
South West,2020-10-30,8,1388,1,92,9,1480,FALSE
South West,2020-10-31,5,1393,1,93,6,1486,FALSE
South West,2020-11-01,5,1398,0,93,5,1491,FALSE
South West,2020-11-02,11,1409,0,93,11,1502,FALSE
South West,2020-11-03,7,1416,2,95,9,1511,FALSE
South West,2020-11-04,8,1424,1,96,9,1520,FALSE
South West,2020-11-05,5,1429,1,97,6,1526,FALSE
South West,2020-11-06,11,1440,0,97,11,1537,FALSE
South West,2020-11-07,10,1450,0,97,10,1547,FALSE
South West,2020-11-08,10,1460,0,97,10,1557,FALSE
South West,2020-11-09,12,1472,0,97,12,1569,FALSE
South West,2020-11-10,6,1478,0,97,6,1575,FALSE
South West,2020-11-11,13,1491,0,97,13,1588,FALSE
South West,2020-11-12,17,1508,0,97,17,1605,FALSE
South West,2020-11-13,9,1517,1,98,10,1615,FALSE
South West,2020-11-14,8,1525,0,98,8,1623,FALSE
South West,2020-11-15,16,1541,3,101,19,1642,FALSE
South West,2020-11-16,18,1559,0,101,18,1660,FALSE
South West,2020-11-17,17,1576,0,101,17,1677,FALSE
South West,2020-11-18,26,1602,0,101,26,1703,FALSE
South West,2020-11-19,15,1617,0,101,15,1718,FALSE
South West,2020-11-20,25,1642,1,102,26,1744,FALSE
South West,2020-11-21,25,1667,0,102,25,1769,FALSE
South West,2020-11-22,24,1691,2,104,26,1795,FALSE
South West,2020-11-23,14,1705,1,105,15,1810,FALSE
South West,2020-11-24,20,1725,0,105,20,1830,FALSE
South West,2020-11-25,25,1750,0,105,25,1855,FALSE
South West,2020-11-26,16,1766,0,105,16,1871,FALSE
South West,2020-11-27,21,1787,1,106,22,1893,FALSE
South West,2020-11-28,35,1822,1,107,36,1929,FALSE
South West,2020-11-29,15,1837,2,109,17,1946,FALSE
South West,2020-11-30,22,1859,1,110,23,1969,FALSE
South West,2020-12-01,19,1878,0,110,19,1988,FALSE
South West,2020-12-02,15,1893,2,112,17,2005,FALSE
South West,2020-12-03,14,1907,1,113,15,2020,FALSE
South West,2020-12-04,20,1927,1,114,21,2041,FALSE
South West,2020-12-05,17,1944,0,114,17,2058,FALSE
South West,2020-12-06,13,1957,1,115,14,2072,FALSE
South West,2020-12-07,16,1973,0,115,16,2088,FALSE
South West,2020-12-08,19,1992,0,115,19,2107,FALSE
South West,2020-12-09,22,2014,0,115,22,2129,FALSE
South West,2020-12-10,21,2035,2,117,23,2152,FALSE
South West,2020-12-11,20,2055,1,118,21,2173,FALSE
South West,2020-12-12,15,2070,5,123,20,2193,FALSE
South West,2020-12-13,19,2089,1,124,20,2213,FALSE
South West,2020-12-14,20,2109,1,125,21,2234,FALSE
South West,2020-12-15,20,2129,0,125,20,2254,FALSE
South West,2020-12-16,9,2138,1,126,10,2264,FALSE
South West,2020-12-17,26,2164,0,126,26,2290,FALSE
South West,2020-12-18,11,2175,2,128,13,2303,FALSE
South West,2020-12-19,22,2197,0,128,22,2325,FALSE
South West,2020-12-20,19,2216,0,128,19,2344,FALSE
South West,2020-12-21,22,2238,0,128,22,2366,FALSE
South West,2020-12-22,11,2249,3,131,14,2380,FALSE
South West,2020-12-23,16,2265,5,136,21,2401,FALSE
South West,2020-12-24,18,2283,0,136,18,2419,FALSE
South West,2020-12-25,19,2302,1,137,20,2439,FALSE
South West,2020-12-26,24,2326,2,139,26,2465,FALSE
South West,2020-12-27,24,2350,0,139,24,2489,FALSE
South West,2020-12-28,21,2371,1,140,22,2511,FALSE
South West,2020-12-29,20,2391,1,141,21,2532,FALSE
South West,2020-12-30,17,2408,0,141,17,2549,FALSE
South West,2020-12-31,28,2436,1,142,29,2578,FALSE
South West,2021-01-01,29,2465,4,146,33,2611,FALSE
South West,2021-01-02,25,2490,1,147,26,2637,FALSE
South West,2021-01-03,28,2518,1,148,29,2666,FALSE
South West,2021-01-04,33,2551,0,148,33,2699,FALSE
South West,2021-01-05,31,2582,1,149,32,2731,FALSE
South West,2021-01-06,27,2609,1,150,28,2759,FALSE
South West,2021-01-07,31,2640,5,155,36,2795,FALSE
South West,2021-01-08,34,2674,0,155,34,2829,FALSE
South West,2021-01-09,26,2700,1,156,27,2856,FALSE
South West,2021-01-10,34,2734,2,158,36,2892,FALSE
South West,2021-01-11,40,2774,0,158,40,2932,FALSE
South West,2021-01-12,53,2827,3,161,56,2988,FALSE
South West,2021-01-13,43,2870,1,162,44,3032,FALSE
South West,2021-01-14,39,2909,0,162,39,3071,FALSE
South West,2021-01-15,47,2956,4,166,51,3122,FALSE
South West,2021-01-16,57,3013,1,167,58,3180,FALSE
South West,2021-01-17,44,3057,2,169,46,3226,FALSE
South West,2021-01-18,47,3104,1,170,48,3274,FALSE
South West,2021-01-19,46,3150,2,172,48,3322,FALSE
South West,2021-01-20,65,3215,1,173,66,3388,FALSE
South West,2021-01-21,62,3277,2,175,64,3452,FALSE
South West,2021-01-22,61,3338,2,177,63,3515,FALSE
South West,2021-01-23,54,3392,1,178,55,3570,FALSE
South West,2021-01-24,59,3451,1,179,60,3630,FALSE
South West,2021-01-25,62,3513,2,181,64,3694,FALSE
South West,2021-01-26,47,3560,0,181,47,3741,FALSE
South West,2021-01-27,47,3607,3,184,50,3791,FALSE
South West,2021-01-28,53,3660,1,185,54,3845,FALSE
South West,2021-01-29,42,3702,1,186,43,3888,FALSE
South West,2021-01-30,39,3741,1,187,40,3928,FALSE
South West,2021-01-31,36,3777,1,188,37,3965,FALSE
South West,2021-02-01,29,3806,1,189,30,3995,FALSE
South West,2021-02-02,38,3844,1,190,39,4034,FALSE
South West,2021-02-03,32,3876,1,191,33,4067,FALSE
South West,2021-02-04,34,3910,1,192,35,4102,FALSE
South West,2021-02-05,25,3935,4,196,29,4131,FALSE
South West,2021-02-06,39,3974,2,198,41,4172,FALSE
South West,2021-02-07,36,4010,2,200,38,4210,FALSE
South West,2021-02-08,32,4042,2,202,34,4244,FALSE
South West,2021-02-09,32,4074,1,203,33,4277,FALSE
South West,2021-02-10,19,4093,1,204,20,4297,FALSE
South West,2021-02-11,20,4113,2,206,22,4319,FALSE
South West,2021-02-12,29,4142,4,210,33,4352,FALSE
South West,2021-02-13,30,4172,0,210,30,4382,FALSE
South West,2021-02-14,18,4190,4,214,22,4404,FALSE
South West,2021-02-15,22,4212,2,216,24,4428,FALSE
South West,2021-02-16,12,4224,1,217,13,4441,FALSE
