ltla_name,ltla_code,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Tower Hamlets,E09000030,2020-12-08,2021-03-14,1st dose,70-74,3821,4999,0.7643528705741148
Waltham Forest,E09000031,2020-12-08,2021-03-14,1st dose,70-74,6319,7494,0.8432078996530558
Wandsworth,E09000032,2020-12-08,2021-03-14,1st dose,70-74,7578,8167,0.9278804946736868
Westminster,E09000033,2020-12-08,2021-03-14,1st dose,70-74,5289,8237,0.6421027072963458
Barking and Dagenham,E09000002,2020-12-08,2021-03-14,1st dose,75-79,2903,3339,0.8694219826295299
Barnet,E09000003,2020-12-08,2021-03-14,1st dose,75-79,9637,10286,0.9369045304297103
Bexley,E09000004,2020-12-08,2021-03-14,1st dose,75-79,7458,7534,0.9899123971329971
Brent,E09000005,2020-12-08,2021-03-14,1st dose,75-79,6070,7339,0.8270881591497479
Bromley,E09000006,2020-12-08,2021-03-14,1st dose,75-79,10804,10705,1.0092480149462868
Camden,E09000007,2020-12-08,2021-03-14,1st dose,75-79,4477,5890,0.7601018675721561
Croydon,E09000008,2020-12-08,2021-03-14,1st dose,75-79,8751,9457,0.9253463043248388
Ealing,E09000009,2020-12-08,2021-03-14,1st dose,75-79,7275,7907,0.9200708233211079
Enfield,E09000010,2020-12-08,2021-03-14,1st dose,75-79,7381,8490,0.8693757361601885
Greenwich,E09000011,2020-12-08,2021-03-14,1st dose,75-79,5150,5356,0.9615384615384616
Hackney and City of London,E09000012,2020-12-08,2021-03-14,1st dose,75-79,3165,3981,0.7950263752825923
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-14,1st dose,75-79,3103,3731,0.8316805146073438
Haringey,E09000014,2020-12-08,2021-03-14,1st dose,75-79,4242,4858,0.8731988472622478
Harrow,E09000015,2020-12-08,2021-03-14,1st dose,75-79,6879,7131,0.9646613378207824
Havering,E09000016,2020-12-08,2021-03-14,1st dose,75-79,8331,8453,0.9855672542292677
Hillingdon,E09000017,2020-12-08,2021-03-14,1st dose,75-79,7073,7522,0.9403084286094124
Hounslow,E09000018,2020-12-08,2021-03-14,1st dose,75-79,5622,5929,0.9482206105582729
Islington,E09000019,2020-12-08,2021-03-14,1st dose,75-79,3296,3865,0.8527813712807244
Kensington and Chelsea,E09000020,2020-12-08,2021-03-14,1st dose,75-79,3522,4786,0.7358963643961555
Kingston upon Thames,E09000021,2020-12-08,2021-03-14,1st dose,75-79,4363,4393,0.9931709537901207
Lambeth,E09000022,2020-12-08,2021-03-14,1st dose,75-79,3972,4809,0.825951341235184
Lewisham,E09000023,2020-12-08,2021-03-14,1st dose,75-79,4419,5115,0.8639296187683284
Merton,E09000024,2020-12-08,2021-03-14,1st dose,75-79,4368,4690,0.9313432835820895
Newham,E09000025,2020-12-08,2021-03-14,1st dose,75-79,3466,4733,0.7323050919078808
Redbridge,E09000026,2020-12-08,2021-03-14,1st dose,75-79,6176,6814,0.906369239800411
Richmond upon Thames,E09000027,2020-12-08,2021-03-14,1st dose,75-79,5889,5656,1.0411951909476662
Southwark,E09000028,2020-12-08,2021-03-14,1st dose,75-79,3799,4777,0.7952689972786268
Sutton,E09000029,2020-12-08,2021-03-14,1st dose,75-79,5631,5720,0.9844405594405594
Tower Hamlets,E09000030,2020-12-08,2021-03-14,1st dose,75-79,2483,3465,0.7165945165945166
Waltham Forest,E09000031,2020-12-08,2021-03-14,1st dose,75-79,4490,5223,0.8596591996936627
Wandsworth,E09000032,2020-12-08,2021-03-14,1st dose,75-79,5147,5700,0.9029824561403509
Westminster,E09000033,2020-12-08,2021-03-14,1st dose,75-79,4086,5656,0.7224186704384724
Barking and Dagenham,E09000002,2020-12-08,2021-03-14,1st dose,80+,4548,5685,0.8
Barnet,E09000003,2020-12-08,2021-03-14,1st dose,80+,14563,16910,0.8612063867534003
Bexley,E09000004,2020-12-08,2021-03-14,1st dose,80+,11499,12831,0.8961889174655132
Brent,E09000005,2020-12-08,2021-03-14,1st dose,80+,8999,11307,0.7958786592376405
Bromley,E09000006,2020-12-08,2021-03-14,1st dose,80+,16538,17418,0.9494775519577449
Camden,E09000007,2020-12-08,2021-03-14,1st dose,80+,5811,8858,0.6560171596297133
Croydon,E09000008,2020-12-08,2021-03-14,1st dose,80+,12818,14802,0.865964058910958
Ealing,E09000009,2020-12-08,2021-03-14,1st dose,80+,10522,12405,0.8482063683998388
Enfield,E09000010,2020-12-08,2021-03-14,1st dose,80+,11470,12809,0.8954641267858537
Greenwich,E09000011,2020-12-08,2021-03-14,1st dose,80+,6642,7939,0.8366292984003023
Hackney and City of London,E09000012,2020-12-08,2021-03-14,1st dose,80+,4188,5950,0.7038655462184874
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-14,1st dose,80+,4202,5274,0.7967387182404247
Haringey,E09000014,2020-12-08,2021-03-14,1st dose,80+,5840,7158,0.8158703548477229
Harrow,E09000015,2020-12-08,2021-03-14,1st dose,80+,10647,11813,0.9012951832726657
Havering,E09000016,2020-12-08,2021-03-14,1st dose,80+,12717,14470,0.878852798894264
Hillingdon,E09000017,2020-12-08,2021-03-14,1st dose,80+,11069,12140,0.9117792421746294
Hounslow,E09000018,2020-12-08,2021-03-14,1st dose,80+,7693,8596,0.8949511400651465
Islington,E09000019,2020-12-08,2021-03-14,1st dose,80+,4322,5491,0.7871061737388454
Kensington and Chelsea,E09000020,2020-12-08,2021-03-14,1st dose,80+,4659,6494,0.7174314752078842
Kingston upon Thames,E09000021,2020-12-08,2021-03-14,1st dose,80+,6141,6990,0.8785407725321889
Lambeth,E09000022,2020-12-08,2021-03-14,1st dose,80+,5818,7466,0.7792660058933834
Lewisham,E09000023,2020-12-08,2021-03-14,1st dose,80+,6514,8037,0.81050143088217
Merton,E09000024,2020-12-08,2021-03-14,1st dose,80+,6794,7421,0.9155100390782913
Newham,E09000025,2020-12-08,2021-03-14,1st dose,80+,4894,6780,0.7218289085545723
Redbridge,E09000026,2020-12-08,2021-03-14,1st dose,80+,9583,11007,0.8706277823203415
Richmond upon Thames,E09000027,2020-12-08,2021-03-14,1st dose,80+,7814,8440,0.9258293838862559
Southwark,E09000028,2020-12-08,2021-03-14,1st dose,80+,5417,6976,0.776519495412844
Sutton,E09000029,2020-12-08,2021-03-14,1st dose,80+,8449,9136,0.9248029772329247
Tower Hamlets,E09000030,2020-12-08,2021-03-14,1st dose,80+,3875,5249,0.7382358544484664
Waltham Forest,E09000031,2020-12-08,2021-03-14,1st dose,80+,6400,8376,0.7640878701050621
Wandsworth,E09000032,2020-12-08,2021-03-14,1st dose,80+,7360,8501,0.8657804964121868
Westminster,E09000033,2020-12-08,2021-03-14,1st dose,80+,5516,9004,0.6126166148378498
Barking and Dagenham,E09000002,2020-12-08,2021-03-14,1st dose,Under 55,23593,116650,0.20225460780111446
Barnet,E09000003,2020-12-08,2021-03-14,1st dose,Under 55,50070,212906,0.2351742083360732
Bexley,E09000004,2020-12-08,2021-03-14,1st dose,Under 55,24702,127017,0.19447790453246416
Brent,E09000005,2020-12-08,2021-03-14,1st dose,Under 55,39190,182718,0.21448352105430227
Bromley,E09000006,2020-12-08,2021-03-14,1st dose,Under 55,35335,167576,0.21085955029359812
Camden,E09000007,2020-12-08,2021-03-14,1st dose,Under 55,25345,166616,0.15211624333797474
Croydon,E09000008,2020-12-08,2021-03-14,1st dose,Under 55,38975,202432,0.19253378912424912
Ealing,E09000009,2020-12-08,2021-03-14,1st dose,Under 55,37014,186354,0.19862197752664285
Enfield,E09000010,2020-12-08,2021-03-14,1st dose,Under 55,41869,177292,0.23615842790424835
Greenwich,E09000011,2020-12-08,2021-03-14,1st dose,Under 55,32650,167422,0.19501618664213782
Hackney and City of London,E09000012,2020-12-08,2021-03-14,1st dose,Under 55,26449,184854,0.1430804851396237
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-14,1st dose,Under 55,17971,113655,0.15811886850556509
Haringey,E09000014,2020-12-08,2021-03-14,1st dose,Under 55,26265,160647,0.16349511662215915
Harrow,E09000015,2020-12-08,2021-03-14,1st dose,Under 55,37109,128738,0.28825210893442493
Havering,E09000016,2020-12-08,2021-03-14,1st dose,Under 55,26190,129756,0.20184037732359197
Hillingdon,E09000017,2020-12-08,2021-03-14,1st dose,Under 55,37991,166214,0.22856678739456363
Hounslow,E09000018,2020-12-08,2021-03-14,1st dose,Under 55,32879,150966,0.21779076083356516
Islington,E09000019,2020-12-08,2021-03-14,1st dose,Under 55,21547,162921,0.13225428275053552
Kensington and Chelsea,E09000020,2020-12-08,2021-03-14,1st dose,Under 55,12068,86798,0.13903546164658173
Kingston upon Thames,E09000021,2020-12-08,2021-03-14,1st dose,Under 55,18928,98774,0.19162937615161885
Lambeth,E09000022,2020-12-08,2021-03-14,1st dose,Under 55,37730,213227,0.17694757230557107
Lewisham,E09000023,2020-12-08,2021-03-14,1st dose,Under 55,31494,184504,0.1706954862767203
Merton,E09000024,2020-12-08,2021-03-14,1st dose,Under 55,25348,115378,0.21969526252838495
Newham,E09000025,2020-12-08,2021-03-14,1st dose,Under 55,37455,219063,0.17097821174730557
Redbridge,E09000026,2020-12-08,2021-03-14,1st dose,Under 55,35024,167098,0.20960155118553184
Richmond upon Thames,E09000027,2020-12-08,2021-03-14,1st dose,Under 55,17397,101991,0.17057387416536754
Southwark,E09000028,2020-12-08,2021-03-14,1st dose,Under 55,32668,201907,0.16179726309637604
Sutton,E09000029,2020-12-08,2021-03-14,1st dose,Under 55,24430,107881,0.2264532216052873
Tower Hamlets,E09000030,2020-12-08,2021-03-14,1st dose,Under 55,30526,217181,0.14055557346176692
Waltham Forest,E09000031,2020-12-08,2021-03-14,1st dose,Under 55,26668,160172,0.16649601678195938
Wandsworth,E09000032,2020-12-08,2021-03-14,1st dose,Under 55,37522,212235,0.17679459090159494
Westminster,E09000033,2020-12-08,2021-03-14,1st dose,Under 55,19823,159408,0.12435385927933354
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,50-54,7551,12493,0.6044184743456336
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,50-54,16825,25906,0.6494634447618313
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,50-54,9870,17554,0.5622650108237439
Brent,E09000005,2020-12-08,2021-03-21,1st dose,50-54,13533,20601,0.6569098587447211
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,50-54,14823,24638,0.6016316259436643
Camden,E09000007,2020-12-08,2021-03-21,1st dose,50-54,8760,15685,0.5584953777494421
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,50-54,15084,27372,0.551074090311267
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,50-54,13551,22964,0.5900975439818847
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,50-54,15932,23032,0.6917332407085793
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,50-54,10959,17879,0.6129537446165892
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,50-54,8784,15801,0.5559141826466679
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,50-54,6993,11813,0.5919749428595615
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,50-54,11385,18035,0.63127252564458
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,50-54,11235,15752,0.7132427628237684
Havering,E09000016,2020-12-08,2021-03-21,1st dose,50-54,10200,17477,0.5836241917949305
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,50-54,14324,19384,0.7389599669830789
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,50-54,11512,17241,0.667710689635172
Islington,E09000019,2020-12-08,2021-03-21,1st dose,50-54,6809,13271,0.5130736191696179
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,50-54,5957,10961,0.5434723109205365
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,50-54,8129,11645,0.6980678402747961
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,50-54,12819,19322,0.6634406376151537
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,50-54,11973,19642,0.6095611444863048
Merton,E09000024,2020-12-08,2021-03-21,1st dose,50-54,10098,13796,0.7319512902290519
Newham,E09000025,2020-12-08,2021-03-21,1st dose,50-54,9914,19171,0.5171352563768191
Redbridge,E09000026,2020-12-08,2021-03-21,1st dose,50-54,9939,18783,0.5291486982910079
Richmond upon Thames,E09000027,2020-12-08,2021-03-21,1st dose,50-54,9063,14847,0.6104263487573247
Southwark,E09000028,2020-12-08,2021-03-21,1st dose,50-54,11848,19727,0.6005981649515892
Sutton,E09000029,2020-12-08,2021-03-21,1st dose,50-54,7721,14977,0.5155238031648528
Tower Hamlets,E09000030,2020-12-08,2021-03-21,1st dose,50-54,7654,14858,0.5151433571140126
Waltham Forest,E09000031,2020-12-08,2021-03-21,1st dose,50-54,9279,17548,0.5287782083428311
Wandsworth,E09000032,2020-12-08,2021-03-21,1st dose,50-54,12866,18164,0.7083241576745211
Westminster,E09000033,2020-12-08,2021-03-21,1st dose,50-54,8167,16678,0.48968701283127475
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,55-59,8086,10535,0.7675367821547223
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,55-59,18159,22509,0.806743969079035
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,55-59,13018,16171,0.8050213344876631
Brent,E09000005,2020-12-08,2021-03-21,1st dose,55-59,14300,19243,0.7431273709920491
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,55-59,16774,21769,0.7705452707979237
Camden,E09000007,2020-12-08,2021-03-21,1st dose,55-59,8829,13034,0.6773822310879238
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,55-59,17996,25680,0.700778816199377
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,55-59,16194,19705,0.8218218726211621
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,55-59,16648,20350,0.8180835380835381
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,55-59,11300,15300,0.738562091503268
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,55-59,9092,12981,0.7004082890378245
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,55-59,7448,9923,0.7505794618562934
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,55-59,11305,14900,0.758724832214765
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,55-59,12401,15458,0.8022383231983439
Havering,E09000016,2020-12-08,2021-03-21,1st dose,55-59,13091,16577,0.7897086324425409
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,55-59,15401,17763,0.8670269661656251
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,55-59,12292,15062,0.8160934802815031
Islington,E09000019,2020-12-08,2021-03-21,1st dose,55-59,8317,11189,0.7433193314862812
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,55-59,6922,9904,0.6989095315024233
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,55-59,7908,9929,0.7964548292879444
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,55-59,13004,17000,0.7649411764705882
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,55-59,12239,17200,0.7115697674418605
Merton,E09000024,2020-12-08,2021-03-21,1st dose,55-59,9686,11960,0.809866220735786
Newham,E09000025,2020-12-08,2021-03-21,1st dose,55-59,10875,16142,0.6737083384958493
Redbridge,E09000026,2020-12-08,2021-03-21,1st dose,55-59,12133,16860,0.719632265717675
Richmond upon Thames,E09000027,2020-12-08,2021-03-21,1st dose,55-59,10169,12899,0.7883556864873246
Southwark,E09000028,2020-12-08,2021-03-21,1st dose,55-59,12766,17494,0.7297359094546702
Sutton,E09000029,2020-12-08,2021-03-21,1st dose,55-59,10872,12825,0.847719298245614
Tower Hamlets,E09000030,2020-12-08,2021-03-21,1st dose,55-59,7814,11780,0.6633276740237691
Waltham Forest,E09000031,2020-12-08,2021-03-21,1st dose,55-59,10275,14542,0.7065740613395681
Wandsworth,E09000032,2020-12-08,2021-03-21,1st dose,55-59,12494,14896,0.8387486573576799
Westminster,E09000033,2020-12-08,2021-03-21,1st dose,55-59,8915,13888,0.6419210829493087
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,60-64,6857,7960,0.8614321608040201
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,60-64,16426,18592,0.8834982788296041
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,60-64,12120,12812,0.9459881361223853
Brent,E09000005,2020-12-08,2021-03-21,1st dose,60-64,12909,16425,0.7859360730593608
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,60-64,16502,17053,0.9676889696827538
Camden,E09000007,2020-12-08,2021-03-21,1st dose,60-64,7756,10783,0.7192803486970231
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,60-64,16288,19729,0.8255866997820467
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,60-64,14461,16404,0.881553279687881
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,60-64,14285,15451,0.9245356287618924
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,60-64,10188,11717,0.8695058462063668
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,60-64,7852,10083,0.7787364871566003
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,60-64,5803,7321,0.7926512771479306
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,60-64,9302,11088,0.838924963924964
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,60-64,12047,13566,0.8880288957688338
Havering,E09000016,2020-12-08,2021-03-21,1st dose,60-64,13037,13847,0.9415035747815411
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,60-64,13304,14272,0.9321748878923767
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,60-64,11399,12531,0.9096640331976698
Islington,E09000019,2020-12-08,2021-03-21,1st dose,60-64,7053,8421,0.8375489846811542
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,60-64,5719,8102,0.7058750925697359
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,60-64,7399,8136,0.9094149459193707
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,60-64,10429,12007,0.8685766636128924
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,60-64,10355,12418,0.8338701884361411
Merton,E09000024,2020-12-08,2021-03-21,1st dose,60-64,8762,9285,0.9436725901992461
Newham,E09000025,2020-12-08,2021-03-21,1st dose,60-64,9717,12562,0.77352332431141535
Redbridge,E09000026,2020-12-08,2021-03-21,1st dose,60-64,11861,13914,0.8524507690096306
Richmond upon Thames,E09000027,2020-12-08,2021-03-21,1st dose,60-64,9231,10117,0.9124246318078482
Southwark,E09000028,2020-12-08,2021-03-21,1st dose,60-64,10346,12755,0.8111328890631125
Sutton,E09000029,2020-12-08,2021-03-21,1st dose,60-64,9318,10118,0.9209329907096264
Tower Hamlets,E09000030,2020-12-08,2021-03-21,1st dose,60-64,6889,9368,0.7353757472245943
Waltham Forest,E09000031,2020-12-08,2021-03-21,1st dose,60-64,9342,11507,0.8118536542973842
Wandsworth,E09000032,2020-12-08,2021-03-21,1st dose,60-64,10247,11417,0.897521240255759
Westminster,E09000033,2020-12-08,2021-03-21,1st dose,60-64,7422,11313,0.6560594006894723
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,65-69,5140,5920,0.8682432432432432
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,65-69,13780,15698,0.8778188304242579
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,65-69,9970,10353,0.9630058920119772
Brent,E09000005,2020-12-08,2021-03-21,1st dose,65-69,10433,12597,0.8282130666031595
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,65-69,13595,14671,0.9266580328539296
Camden,E09000007,2020-12-08,2021-03-21,1st dose,65-69,6318,9112,0.6933713784021072
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,65-69,13331,15576,0.8558680020544427
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,65-69,11953,13679,0.8738211857591929
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,65-69,11273,12344,0.9132372002592353
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,65-69,8184,8990,0.9103448275862069
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,65-69,6242,7527,0.8292812541517205
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,65-69,4776,5999,0.7961326887814636
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,65-69,7426,8823,0.8416638331633232
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,65-69,10513,11252,0.9343227870600782
Havering,E09000016,2020-12-08,2021-03-21,1st dose,65-69,10887,11826,0.9205986808726535
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,65-69,10825,11284,0.9593229351293867
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,65-69,9443,10368,0.9107831790123457
Islington,E09000019,2020-12-08,2021-03-21,1st dose,65-69,5588,6477,0.8627450980392157
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,65-69,4770,7035,0.6780383795309168
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,65-69,6306,6902,0.9136482179078528
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,65-69,7519,8575,0.8768513119533528
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,65-69,7525,8735,0.8614768174012593
Merton,E09000024,2020-12-08,2021-03-21,1st dose,65-69,7140,7672,0.9306569343065694
Newham,E09000025,2020-12-08,2021-03-21,1st dose,65-69,7587,9208,0.8239574283231972
Redbridge,E09000026,2020-12-08,2021-03-21,1st dose,65-69,10072,11505,0.875445458496306
Richmond upon Thames,E09000027,2020-12-08,2021-03-21,1st dose,65-69,7846,8790,0.8926052332195676
Southwark,E09000028,2020-12-08,2021-03-21,1st dose,65-69,7210,8555,0.842781998831093
Sutton,E09000029,2020-12-08,2021-03-21,1st dose,65-69,7948,8431,0.9427114221326058
Tower Hamlets,E09000030,2020-12-08,2021-03-21,1st dose,65-69,5173,7146,0.7239014833473272
Waltham Forest,E09000031,2020-12-08,2021-03-21,1st dose,65-69,7401,8887,0.8327894677618994
Wandsworth,E09000032,2020-12-08,2021-03-21,1st dose,65-69,7990,9258,0.8630373730827392
Westminster,E09000033,2020-12-08,2021-03-21,1st dose,65-69,5890,9731,0.605282088171822
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,70-74,4239,4836,0.8765508684863523
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,70-74,13150,14410,0.9125607217210271
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,70-74,10034,10250,0.9789268292682927
Brent,E09000005,2020-12-08,2021-03-21,1st dose,70-74,8395,9845,0.8527171152869477
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,70-74,14746,15383,0.9585906520184619
Camden,E09000007,2020-12-08,2021-03-21,1st dose,70-74,5995,8603,0.6968499360688132
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,70-74,12502,13362,0.9356383774884
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,70-74,10356,10855,0.9540304007369875
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,70-74,10082,10921,0.9231755333760645
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,70-74,7361,8074,0.9116918503839485
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,70-74,4980,5876,0.8475153165418652
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,70-74,4430,5365,0.825722273998136
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,70-74,6295,7154,0.8799273133911099
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,70-74,9173,9792,0.9367851307189542
Havering,E09000016,2020-12-08,2021-03-21,1st dose,70-74,11535,11960,0.9644648829431438
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,70-74,9834,10449,0.9411426930806776
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,70-74,8206,8538,0.9611150152260483
Islington,E09000019,2020-12-08,2021-03-21,1st dose,70-74,4923,5651,0.8711732436736861
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,70-74,4607,6734,0.6841401841401842
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,70-74,6276,6460,0.9715170278637771
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,70-74,6029,6650,0.9066165413533834
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,70-74,6178,7101,0.8700183072806646
Merton,E09000024,2020-12-08,2021-03-21,1st dose,70-74,6447,6684,0.9645421903052065
Newham,E09000025,2020-12-08,2021-03-21,1st dose,70-74,5519,6507,0.8481635162133088
Redbridge,E09000026,2020-12-08,2021-03-21,1st dose,70-74,8897,9526,0.9339701868570229
Richmond upon Thames,E09000027,2020-12-08,2021-03-21,1st dose,70-74,8253,8506,0.9702562896778745
Southwark,E09000028,2020-12-08,2021-03-21,1st dose,70-74,5879,6822,0.8617707417179713
Sutton,E09000029,2020-12-08,2021-03-21,1st dose,70-74,7943,8335,0.9529694061187762
Tower Hamlets,E09000030,2020-12-08,2021-03-21,1st dose,70-74,3854,4999,0.7709541908381676
Waltham Forest,E09000031,2020-12-08,2021-03-21,1st dose,70-74,6370,7494,0.8500133440085401
Wandsworth,E09000032,2020-12-08,2021-03-21,1st dose,70-74,7615,8167,0.9324109220031835
Westminster,E09000033,2020-12-08,2021-03-21,1st dose,70-74,5351,8237,0.6496297195580916
Barking and Dagenham,E09000002,2020-12-08,2021-03-21,1st dose,75-79,2921,3339,0.8748128182090447
Barnet,E09000003,2020-12-08,2021-03-21,1st dose,75-79,9658,10286,0.9389461403849894
Bexley,E09000004,2020-12-08,2021-03-21,1st dose,75-79,7464,7534,0.9907087868330237
Brent,E09000005,2020-12-08,2021-03-21,1st dose,75-79,6111,7339,0.8326747513285189
Bromley,E09000006,2020-12-08,2021-03-21,1st dose,75-79,10824,10705,1.0111163007940216
Camden,E09000007,2020-12-08,2021-03-21,1st dose,75-79,4496,5890,0.7633276740237691
Croydon,E09000008,2020-12-08,2021-03-21,1st dose,75-79,8798,9457,0.9303161679179444
Ealing,E09000009,2020-12-08,2021-03-21,1st dose,75-79,7307,7907,0.9241178702415581
Enfield,E09000010,2020-12-08,2021-03-21,1st dose,75-79,7417,8490,0.8736160188457008
Greenwich,E09000011,2020-12-08,2021-03-21,1st dose,75-79,5159,5356,0.9632188200149365
Hackney and City of London,E09000012,2020-12-08,2021-03-21,1st dose,75-79,3195,3981,0.8025621703089676
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-21,1st dose,75-79,3118,3731,0.8357008844813723
Haringey,E09000014,2020-12-08,2021-03-21,1st dose,75-79,4281,4858,0.8812268423219431
Harrow,E09000015,2020-12-08,2021-03-21,1st dose,75-79,6893,7131,0.966624596830739
Havering,E09000016,2020-12-08,2021-03-21,1st dose,75-79,8352,8453,0.9880515793209511
Hillingdon,E09000017,2020-12-08,2021-03-21,1st dose,75-79,7098,7522,0.9436320127625631
Hounslow,E09000018,2020-12-08,2021-03-21,1st dose,75-79,5640,5929,0.9512565356721201
Islington,E09000019,2020-12-08,2021-03-21,1st dose,75-79,3315,3865,0.8576972833117723
Kensington and Chelsea,E09000020,2020-12-08,2021-03-21,1st dose,75-79,3538,4786,0.7392394483911409
Kingston upon Thames,E09000021,2020-12-08,2021-03-21,1st dose,75-79,4361,4393,0.9927156840427953
Lambeth,E09000022,2020-12-08,2021-03-21,1st dose,75-79,4005,4809,0.8328134747348721
Lewisham,E09000023,2020-12-08,2021-03-21,1st dose,75-79,4453,5115,0.8705767350928642
Merton,E09000024,2020-12-08,2021-03-21,1st dose,75-79,4393,4690,0.9366737739872069
