ltla_name,ltla_code,start_date,end_date,dose,age_band,vaccines,population,percent_vaccine
Westminster,E09000033,2020-12-08,2021-03-07,1st dose,65-69,5670,9731,0.5826739286815332
Barking and Dagenham,E09000002,2020-12-08,2021-03-07,1st dose,70-74,4177,4836,0.8637303556658396
Barnet,E09000003,2020-12-08,2021-03-07,1st dose,70-74,13041,14410,0.9049965301873699
Bexley,E09000004,2020-12-08,2021-03-07,1st dose,70-74,9979,10250,0.9735609756097561
Brent,E09000005,2020-12-08,2021-03-07,1st dose,70-74,8244,9845,0.8373793803961401
Bromley,E09000006,2020-12-08,2021-03-07,1st dose,70-74,14670,15383,0.9536501332639927
Camden,E09000007,2020-12-08,2021-03-07,1st dose,70-74,5916,8603,0.6876670928745786
Croydon,E09000008,2020-12-08,2021-03-07,1st dose,70-74,12354,13362,0.9245621912887292
Ealing,E09000009,2020-12-08,2021-03-07,1st dose,70-74,10221,10855,0.9415937356057117
Enfield,E09000010,2020-12-08,2021-03-07,1st dose,70-74,9976,10921,0.9134694625034337
Greenwich,E09000011,2020-12-08,2021-03-07,1st dose,70-74,7294,8074,0.90339360911568
Hackney and City of London,E09000012,2020-12-08,2021-03-07,1st dose,70-74,4879,5876,0.8303267528931245
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-07,1st dose,70-74,4363,5365,0.8132339235787511
Haringey,E09000014,2020-12-08,2021-03-07,1st dose,70-74,6231,7154,0.8709812692200167
Harrow,E09000015,2020-12-08,2021-03-07,1st dose,70-74,9119,9792,0.9312704248366013
Havering,E09000016,2020-12-08,2021-03-07,1st dose,70-74,11429,11960,0.9556020066889632
Hillingdon,E09000017,2020-12-08,2021-03-07,1st dose,70-74,9745,10449,0.9326251315915398
Hounslow,E09000018,2020-12-08,2021-03-07,1st dose,70-74,8147,8538,0.9542047317873038
Islington,E09000019,2020-12-08,2021-03-07,1st dose,70-74,4837,5651,0.8559546982834897
Kensington and Chelsea,E09000020,2020-12-08,2021-03-07,1st dose,70-74,4532,6734,0.673002673002673
Kingston upon Thames,E09000021,2020-12-08,2021-03-07,1st dose,70-74,6227,6460,0.9639318885448916
Lambeth,E09000022,2020-12-08,2021-03-07,1st dose,70-74,5927,6650,0.8912781954887218
Lewisham,E09000023,2020-12-08,2021-03-07,1st dose,70-74,6099,7101,0.8588931136459653
Merton,E09000024,2020-12-08,2021-03-07,1st dose,70-74,6386,6684,0.9554159186116098
Newham,E09000025,2020-12-08,2021-03-07,1st dose,70-74,5389,6507,0.8281850315045336
Redbridge,E09000026,2020-12-08,2021-03-07,1st dose,70-74,8816,9526,0.9254671425572119
Richmond upon Thames,E09000027,2020-12-08,2021-03-07,1st dose,70-74,8204,8506,0.9644956501293205
Southwark,E09000028,2020-12-08,2021-03-07,1st dose,70-74,5764,6822,0.8449135150982117
Sutton,E09000029,2020-12-08,2021-03-07,1st dose,70-74,7868,8335,0.9439712057588482
Tower Hamlets,E09000030,2020-12-08,2021-03-07,1st dose,70-74,3784,4999,0.7569513902780556
Waltham Forest,E09000031,2020-12-08,2021-03-07,1st dose,70-74,6291,7494,0.8394715772618094
Wandsworth,E09000032,2020-12-08,2021-03-07,1st dose,70-74,7534,8167,0.922492959471042
Westminster,E09000033,2020-12-08,2021-03-07,1st dose,70-74,5247,8237,0.6370037635061309
Barking and Dagenham,E09000002,2020-12-08,2021-03-07,1st dose,75-79,2891,3339,0.8658280922431866
Barnet,E09000003,2020-12-08,2021-03-07,1st dose,75-79,9604,10286,0.9336962862142718
Bexley,E09000004,2020-12-08,2021-03-07,1st dose,75-79,7435,7534,0.986859569949562
Brent,E09000005,2020-12-08,2021-03-07,1st dose,75-79,6025,7339,0.8209565335876823
Bromley,E09000006,2020-12-08,2021-03-07,1st dose,75-79,10767,10705,1.0057916861279776
Camden,E09000007,2020-12-08,2021-03-07,1st dose,75-79,4444,5890,0.7544991511035654
Croydon,E09000008,2020-12-08,2021-03-07,1st dose,75-79,8703,9457,0.9202706989531564
Ealing,E09000009,2020-12-08,2021-03-07,1st dose,75-79,7246,7907,0.9164031870494499
Enfield,E09000010,2020-12-08,2021-03-07,1st dose,75-79,7346,8490,0.8652532391048292
Greenwich,E09000011,2020-12-08,2021-03-07,1st dose,75-79,5126,5356,0.957057505601195
Hackney and City of London,E09000012,2020-12-08,2021-03-07,1st dose,75-79,3153,3981,0.7920120572720422
Hammersmith and Fulham,E09000013,2020-12-08,2021-03-07,1st dose,75-79,3083,3731,0.8263200214419727
Haringey,E09000014,2020-12-08,2021-03-07,1st dose,75-79,4218,4858,0.8682585426101276
Harrow,E09000015,2020-12-08,2021-03-07,1st dose,75-79,6871,7131,0.9635394755293788
Havering,E09000016,2020-12-08,2021-03-07,1st dose,75-79,8310,8453,0.9830829291375843
Hillingdon,E09000017,2020-12-08,2021-03-07,1st dose,75-79,7056,7522,0.9380483913852699
Hounslow,E09000018,2020-12-08,2021-03-07,1st dose,75-79,5601,5929,0.9446786979254512
Islington,E09000019,2020-12-08,2021-03-07,1st dose,75-79,3268,3865,0.8455368693402329
Kensington and Chelsea,E09000020,2020-12-08,2021-03-07,1st dose,75-79,3500,4786,0.7312996239030506
Kingston upon Thames,E09000021,2020-12-08,2021-03-07,1st dose,75-79,4347,4393,0.9895287958115183
Lambeth,E09000022,2020-12-08,2021-03-07,1st dose,75-79,3943,4809,0.8199209814930339
Lewisham,E09000023,2020-12-08,2021-03-07,1st dose,75-79,4394,5115,0.8590420332355816
Merton,E09000024,2020-12-08,2021-03-07,1st dose,75-79,4347,4690,0.926865671641791
Newham,E09000025,2020-12-08,2021-03-07,1st dose,75-79,3430,4733,0.7246989224593281
Redbridge,E09000026,2020-12-08,2021-03-07,1st dose,75-79,6159,6814,0.9038743762841209
